Movie,Year,Rate_All Ages,Rate_<18,Rate_18-29,Rate_30-44,Rate_45+,Number_All Ages,Number_<18,Number_18-29,Number_30-44,Number_45+
A Quiet Place,2018,7.5,7.6,7.6,7.4,7.4,489831,498,89041,154844,40616
Godzilla,1954,7.6,7.9,7.8,7.5,7.3,32428,32,4824,12546,6129
The Fly,1986,7.6,8,7.7,7.6,7.5,171639,58,17814,79829,30968
Psycho,1960,8.5,8.8,8.6,8.5,8.5,639113,371,101170,244362,90742
Deep Red,1975,7.6,7.4,7.7,7.6,7.4,36189,20,3991,16252,7145
28 Days Later...,2002,7.6,7.6,7.5,7.6,7.4,396869,103,51376,199218,47475
The Others,2001,7.6,7.9,7.7,7.6,7.6,354012,94,44909,171318,48082
Train to Busan,2016,7.6,8,7.7,7.5,7.5,197324,197,37542,67501,16014
American Psycho,2000,7.6,8,7.7,7.6,7.2,537885,307,99056,234732,43759
The Lighthouse,2019,7.5,8.2,7.8,7.2,6.7,179586,244,35824,53200,15148
Saw,2004,7.6,7.9,7.6,7.7,7.3,402147,221,64247,199706,34838
Stree,2018,7.6,7.5,7.6,7.4,6.6,32065,48,7207,7722,598
Zombieland,2009,7.6,7.5,7.6,7.6,7.4,548553,265,106664,246177,48074
The Skin I Live In,2011,7.6,7.9,7.8,7.6,7.3,146999,30,23259,75818,17006
The Invisible Man,1933,7.7,7.9,7.7,7.6,7.6,33598,27,3854,12063,8932
The Conjuring,2013,7.5,7.7,7.6,7.5,7.3,480934,357,103940,179286,36152
Last Night in Soho,2021,7.2,7.9,7.3,7,7.1,60925,96,11648,17489,5117
The Wolf Man,1941,7.3,7.1,7.3,7.2,7.4,26001,21,2691,9789,6897
10 Cloverfield Lane,2016,7.2,7.2,7.4,7.2,7.1,309277,104,54653,122291,30528
Poltergeist,1982,7.3,7.5,7.1,7.3,7.6,155306,99,16769,64364,31293
Angel Heart,1987,7.3,7,7.2,7.2,7.4,85256,11,5801,36571,22997
The Lost Boys,1987,7.3,8.1,7.2,7.2,7.3,134509,36,10626,58701,28941
They Live,1988,7.3,7.7,7.3,7.3,7.2,122503,40,13222,54574,22697
The Return of the Living Dead,1985,7.3,7.9,7.4,7.3,7.3,58774,9,4672,27260,12552
Sleepy Hollow,1999,7.3,7.3,7.3,7.3,7.3,347470,80,40977,171311,45969
Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3,7.5,7.6,7.3,6.9,356986,90,61838,182469,32409
Twin Peaks: Fire Walk with Me,1992,7.3,7.2,7.5,7.3,7,93548,36,11588,40628,16221
Dawn of the Dead,2004,7.3,7.1,7.2,7.3,7.3,248426,50,31027,129404,29843
Dead Ringers,1988,7.3,7.6,7.4,7.3,7.1,44871,12,4189,18832,10848
Scream,1996,7.3,8,7.4,7.2,7.1,313424,245,40301,143681,36340
World War Z,2013,7,7,7.1,6.9,6.9,633302,233,117698,261233,62488
Trollhunter,2010,7,7.1,7,7,6.9,72169,15,8844,39086,11280
A Girl Walks Home Alone at Night,2014,7,5.9,7.2,6.9,6.8,34072,12,5885,15246,4859
The Cabin in the Woods,2011,7,7.1,7,7,7,398556,150,73707,182068,39201
Planet Terror,2007,7,6.6,7,7.1,6.9,206210,25,20554,119045,25285
Green Room,2015,7,7.2,7.2,6.9,6.8,116154,40,20874,47942,11854
Raw,2016,7,7.6,7.3,6.9,6.5,70230,50,15186,25368,6074
Orphan,2009,7,7.2,7,6.9,6.9,206341,108,41401,93250,18203
The Killing of a Sacred Deer,2017,7,7.5,7.4,6.9,6.5,139706,71,27365,50161,13642
Thelma,2017,7,6.3,7.2,7,6.8,29798,13,5170,11985,4234
Scanners,1981,6.8,6.9,6.8,6.8,6.8,52721,11,4231,23380,12313
The Fog,1980,6.8,6.9,6.7,6.7,6.9,70616,26,5619,29841,17314
Phenomena,1985,6.8,7,6.9,6.8,6.6,25400,9,2232,11760,5485
Dead Calm,1989,6.8,7.1,6.6,6.7,6.9,39199,5,1593,15113,12763
eXistenZ,1999,6.8,6.3,6.9,6.8,6.7,97813,10,6098,49653,19407
High Tension,2003,6.8,6.5,6.6,6.8,6.8,70560,15,6149,39014,10749
From Hell,2001,6.8,5.9,6.8,6.8,6.8,151713,20,12405,81630,23529
The Devil's Rejects,2005,6.8,6.9,6.8,6.8,6.6,97397,10,8185,53392,14548
Dog Soldiers,2002,6.8,9.7,6.8,6.7,6.9,58325,3,3987,29655,11631
Ginger Snaps,2000,6.8,7.4,7,6.7,6.7,45516,9,4371,22216,8291
1408,2007,6.8,7.3,6.9,6.8,6.6,264327,47,37950,140749,29175
Trick 'r Treat,2007,6.8,7.3,6.8,6.7,6.7,88956,46,13143,45942,10522
The Loved Ones,2009,6.6,6.8,6.7,6.6,6.6,39756,9,6114,20462,5211
Halloween,2018,6.6,6.9,6.7,6.5,6.4,141412,190,24126,47848,13931
You're Next,2011,6.6,6.9,6.6,6.5,6.5,95147,41,17419,42021,10667
The Final Girls,2015,6.6,7,6.6,6.5,6.5,44043,39,6810,19575,5379
Overlord,2018,6.6,7.2,6.7,6.5,6.5,94181,42,13687,36214,12614
Insidious: Chapter 2,2013,6.6,6.8,6.7,6.5,6.3,164545,103,37756,63471,12202
Bird Box,2018,6.6,6.4,6.6,6.6,6.6,310846,338,57177,103769,27345
Hellbound: Hellraiser II,1988,6.5,6.8,6.4,6.5,6.5,46496,26,3864,21564,8972
Hush,2016,6.6,6.5,6.7,6.5,6.5,120970,132,25638,39847,8366
The Girl with All the Gifts,2016,6.6,5.8,6.7,6.6,6.8,58125,13,6727,25670,9996
The Exorcist III,1990,6.5,7.4,6.6,6.4,6.5,30426,10,2117,12841,8088
Alien 3,1992,6.5,5.7,6.2,6.5,6.5,290208,94,26317,136713,49816
New Nightmare,1994,6.5,6.5,6.6,6.5,6.3,55982,69,5966,27374,7771
The Faculty,1998,6.5,7.7,6.7,6.5,6.3,118434,25,7772,66604,16864
Silent Hill,2006,6.5,6.7,6.5,6.6,6.3,223019,39,30814,119258,22195
Dead End,2003,6.5,7.2,6.6,6.6,6.5,27993,4,2433,14872,4831
Lights Out,2016,6.3,6.1,6.4,6.3,6.3,123658,118,25224,43357,9909
The Blair Witch Project,1999,6.5,6.8,6.6,6.5,6.1,247634,139,29380,114751,36873
The Bar,2017,6.3,5.7,6.3,6.3,6.4,25340,13,3512,10394,3273
Hotel Transylvania 3: Summer Vacation,2018,6.3,6,6.4,6.2,6.2,65812,167,12128,21548,5448
The Ritual,2017,6.3,6.2,6.3,6.3,6.3,89745,44,15305,33574,8775
Haunt,2019,6.3,5.7,6.3,6.2,6.2,26030,23,3854,9896,2843
Apostle,2018,6.3,7,6.4,6.2,6.1,49286,27,8140,18933,5750
The Blob,1958,6.4,7.3,6.4,6.3,6.4,25374,6,2051,9079,7796
The Conjuring: The Devil Made Me Do It,2021,6.3,6.7,6.3,6.2,6.3,96799,227,16041,27269,7210
Friday the 13th,1980,6.4,6.2,6.2,6.5,6.5,132546,142,17127,56130,20585
Silver Bullet,1985,6.4,7,6.4,6.4,6.4,26324,2,1292,11098,7343
Arachnophobia,1990,6.4,6.9,6.4,6.4,6.4,67831,11,3399,32604,14601
Gremlins 2: The New Batch,1990,6.4,6.4,6.4,6.5,6.1,99674,36,7305,49917,16053
The Shallows,2016,6.3,6.5,6.4,6.2,6.4,127820,51,20945,50357,14863
Resident Evil: Extinction,2007,6.2,5.7,6.4,6.2,6.3,190296,32,26683,102924,20736
Vacancy,2007,6.2,6.5,6.3,6.2,6.2,98313,21,11372,53901,13522
Rogue,2007,6.2,6.3,6.1,6.2,6.3,29510,3,3016,15315,5548
Dead Silence,2007,6.2,6.1,6.4,6.1,5.9,91531,44,17995,43654,8279
The Strangers,2008,6.2,5.4,6.2,6.1,6,126370,71,19148,64867,14150
Saw III,2006,6.2,6.6,6.4,6.1,6,187676,110,31231,98070,14584
Frontier(s),2007,6.2,6.3,6.2,6.2,6.2,26291,3,2526,14566,4180
Case 39,2009,6.2,5.9,6.3,6.1,6.2,83322,18,13001,41612,11427
The Thing,2011,6.2,5.3,6.1,6.2,6.4,128345,30,15611,65764,21551
Red State,2011,6.2,4.5,6.2,6.2,6.1,63741,4,6047,36864,11131
Dark Shadows,2012,6.2,6.4,6.2,6.1,6.3,257771,71,51084,117366,28781
Scream 4,2011,6.2,6.5,6.4,6.1,5.9,136054,95,24379,70876,12349
Devil,2010,6.2,5.8,6.2,6.2,6.4,141193,35,21879,73737,17379
Mama,2013,6.2,6.3,6.2,6.2,6.3,175976,44,34982,76782,18063
Open Grave,2013,6.2,6.2,6.4,6.2,6.2,29429,4,3748,15327,4610
The Neon Demon,2016,6.2,6.7,6.6,6.1,5.6,90892,40,17977,35916,9096
Saw VI,2009,6,6.6,6.2,6,5.8,108300,78,22506,52091,8062
V/H/S/2,2013,6,7,6.2,6,5.8,38546,20,6889,18191,4304
The Taking of Deborah Logan,2014,6,4.3,6.1,6,6,29794,12,4989,12824,3641
Circle,2015,6,5.5,6.1,6,6,51796,65,10792,19132,4049
The Purge: Election Year,2016,6,6.4,6.1,5.9,5.9,97145,67,19388,35527,8253
Unfriended: Dark Web,2018,6,5.6,6,6,5.7,30869,63,6311,10106,2522
The Boy,2016,6,5.8,6,6,6.1,86880,66,16773,31724,8506
Friday the 13th Part 2,1981,6.1,6.5,6.1,6.1,6,65112,79,7755,27765,10523
Captive State,2019,6,4.3,5.9,6,6,53120,8,8858,22619,6670
Resident Evil: Afterlife,2010,5.8,5.3,5.9,5.8,5.9,167558,34,26537,90482,18002
Saw V,2008,5.8,6.1,6,5.7,5.6,121335,75,23294,61125,8934
The Divide,2011,5.8,6.5,6,5.8,5.6,36433,2,3476,20780,6760
The Addams Family,2019,5.8,5.4,5.9,5.8,5.9,35828,53,5402,12516,4144
Pride and Prejudice and Zombies,2016,5.8,6.6,5.8,5.7,6,54616,11,8593,21470,7722
Rubber,2010,5.8,5,5.8,5.8,5.7,36096,6,6201,18200,4650
Final Destination 5,2011,5.8,6.2,5.9,5.8,6,112315,53,24283,53760,10651
Paranormal Activity 3,2011,5.8,5.8,5.7,5.8,5.7,93253,30,20120,46513,8817
V/H/S,2012,5.8,6.7,5.9,5.8,5.6,60346,17,10245,29241,7077
The Purge,2013,5.8,5.7,5.8,5.7,5.8,215370,127,44569,86914,19818
Underworld: Blood Wars,2016,5.8,5.6,6,5.7,5.9,73728,14,9813,32076,9430
Jigsaw,2017,5.8,5.8,5.8,5.7,5.8,75692,93,15746,27190,5698
Morgan,2016,5.8,5.9,5.7,5.7,6,41823,6,4549,17535,7996
Eli,2019,5.8,4.6,5.6,5.8,5.9,33103,33,5055,12023,3781
The Meg,2018,5.6,5.7,5.7,5.5,5.7,162600,169,24799,57986,20085
Curse of Chucky,2013,5.6,6.1,5.6,5.6,5.6,37816,37,6689,17243,3598
High Life,2018,5.8,6.5,6.4,5.7,5.3,32843,19,5314,12200,4852
Ma,2019,5.6,4.7,5.5,5.6,5.8,50497,47,7904,17531,6085
Friday the 13th Part III,1982,5.7,5.7,5.7,5.7,5.6,51592,42,5949,22294,8466
A Nightmare on Elm Street 4: The Dream Master,1988,5.7,5.3,5.6,5.7,5.5,53918,31,5789,25357,8335
Poltergeist II: The Other Side,1986,5.7,5.1,5.6,5.7,5.6,26576,6,1464,11273,7300
I Know What You Did Last Summer,1997,5.7,6.5,5.8,5.7,5.7,141273,44,15504,73144,17072
Lake Placid,1999,5.7,6.3,5.7,5.6,5.9,59059,3,3771,27608,13084
Buffy the Vampire Slayer,1992,5.7,7,5.6,5.6,5.7,43552,2,2113,21157,9464
Club Dread,2004,5.7,7,5.9,5.7,5.4,29358,1,1740,16790,4454
Teeth,2007,5.4,4.9,5,5.4,5.7,43100,11,5548,23822,5996
Freddy vs. Jason,2003,5.7,6.1,5.8,5.7,5.6,116158,43,14492,60039,12576
Countdown,2019,5.4,4.7,5.3,5.3,5.6,32212,49,5740,10654,3295
My Bloody Valentine,2009,5.4,4.7,5.5,5.4,5.5,55753,10,8282,30568,6893
The Mummy,2017,5.4,4.8,5.4,5.4,5.5,181091,90,26854,71101,22856
Resident Evil: Retribution,2012,5.4,5.2,5.6,5.2,5.4,138328,30,23613,69533,14983
Annabelle,2014,5.4,5.4,5.4,5.4,5.5,152184,153,35238,52934,11052
In the Tall Grass,2019,5.4,5.6,5.5,5.4,5.5,52554,65,8100,18970,5780
Gretel & Hansel,2020,5.4,5.3,5.5,5.4,5.3,28661,41,3935,10524,3783
A Nightmare on Elm Street 2: Freddy's Revenge,1985,5.5,5.6,5.5,5.5,5.3,66775,45,7784,30386,10067
Maximum Overdrive,1986,5.5,4.7,5.2,5.6,5.3,31788,4,1498,13993,8845
Hellraiser III: Hell on Earth,1992,5.5,6.2,5.5,5.5,5.5,29657,7,2275,14194,5830
Bride of Chucky,1998,5.5,6.5,5.6,5.4,5.4,56532,38,7244,28008,6730
Ghost Ship,2002,5.5,6.3,5.6,5.5,5.7,98409,13,10793,51125,14556
The Grudge 2,2006,5.1,5.2,5.3,5,5,48741,12,7598,25376,5619
An American Haunting,2005,5.1,5,5,5,5.2,25446,1,1607,13373,6271
Stay Alive,2006,5.1,5.8,5.5,5,4.9,31791,8,4689,17373,3620
The Hills Have Eyes 2,2007,5.1,5.4,5.2,5.1,5.2,62995,7,9104,33390,6970
See No Evil,2006,5.1,6,5.2,5,5,26859,2,3215,14886,3523
Spawn,1997,5.2,4.9,5.2,5.3,5.2,66790,10,4386,37447,10036
The Cave,2005,5.2,6,5.2,5.1,5.3,37777,4,3351,19301,7335
Shutter,2008,5.2,5,5.4,5.2,5.3,33636,4,4624,18187,4732
Rings,2017,4.5,3.4,4.4,4.5,4.7,39717,19,7702,15249,3896
Ouija,2014,4.5,3.7,4.5,4.4,4.7,51227,29,10397,19935,5568
Scooby-Doo 2: Monsters Unleashed,2004,5.2,5.6,5.3,4.8,5.1,54304,59,14510,17176,5262
When a Stranger Calls,2006,5.1,5.4,5.4,5,5,45197,12,7137,22624,5445
Doom,2005,5.2,4.3,5.3,5.2,5.2,111629,17,10279,62840,15388
Friday the 13th Part VIII: Jason Takes Manhattan,1989,4.6,4,4.4,4.7,4.3,36701,25,3882,16705,5691
The Island of Dr. Moreau,1996,4.6,2,4.5,4.6,4.4,32859,1,968,15454,8533
Psycho,1998,4.6,3.3,4.2,4.6,4.7,47501,10,3499,23609,9046
Black Christmas,2006,4.6,5.5,4.8,4.5,4.6,26616,12,3127,13790,3941
Paranormal Activity 4,2012,4.6,5.4,4.6,4.6,4.6,64949,27,14829,28561,5951
Aliens vs. Predator: Requiem,2007,4.6,3.3,4.4,4.7,4.9,120836,31,12443,64651,17708
Paranormal Activity: The Ghost Dimension,2015,4.6,4.4,4.4,4.7,4.7,26969,22,5258,10616,2743
Alone in the Dark,2005,2.4,1.5,2.1,2.3,2.7,45214,6,3630,26200,7027
Laxmii,2020,2.4,3.9,2.4,2.2,2,55975,73,4746,5577,517
House of the Dead,2003,2.1,2.7,1.9,1.9,2.4,36926,5,2592,21331,5493
Troll 2,1990,3,1.8,3,3,2.5,32212,12,4250,16765,3922
Manos: The Hands of Fate,1966,1.8,1.4,2.2,1.8,1.6,35874,13,3234,17296,5906
Jaws: The Revenge,1987,3,2.1,2.7,3.1,2.9,44730,28,3657,18822,10107
Slender Man,2018,3.2,2.6,3,3.3,3.6,32219,64,6370,9732,2945
Vampires Suck,2010,3.4,2.5,3.6,3.3,3.5,48259,11,13042,22630,3841
I Know Who Killed Me,2007,3.6,2,3.6,3.6,3.7,29235,4,3826,17160,3794
The Open House,2018,3.2,1.9,3,3.3,3.4,33288,25,5344,11578,3821
Jaws 3-D,1983,3.7,2.6,3.4,3.7,3.7,42654,27,3780,16705,10040
BloodRayne,2005,2.9,2.5,2.9,2.8,3.3,35139,2,1978,20516,6278
The Fog,2005,3.7,5.2,3.6,3.6,3.9,36423,5,2895,19035,7168
Piranha 3DD,2012,3.7,2.4,3.5,3.8,3.9,41652,10,7983,20357,5143
The Wicker Man,2006,3.7,2.4,3.6,3.7,3.9,66587,11,6650,35120,11753
Human Centipede 2: Tom Six Discusses the Story Concept,2011,3.8,2.3,3.4,3.9,4.1,37729,18,7602,17268,4470
Prom Night,2008,3.9,3,4.3,3.8,3.8,35424,12,5953,18442,4120
One Missed Call,2008,4,2.5,4.2,3.9,4.2,31909,4,5160,17186,3976
Halloween: Resurrection,2002,4,3.5,3.9,4,4.2,41894,17,4455,19857,5645
Shark Night,2011,4,3.4,4.1,3.9,4.1,25675,7,4178,13137,4015
Book of Shadows: Blair Witch 2,2000,4,4.8,3.6,4,4.2,37363,6,2430,19700,5870
Plan 9 from Outer Space,1957,4,2.8,3.9,3.9,4,37830,9,3094,16316,8659
Jason Goes to Hell: The Final Friday,1993,4.2,3.7,3.8,4.3,4.4,31239,22,3286,14548,4590
Boogeyman,2005,4.2,7,4.2,4.1,4.5,30807,1,3079,16507,4821
Species II,1998,4.4,8,4.6,4.4,4.4,28789,1,1262,14047,6754
Jason X,2001,4.4,4,4.2,4.3,4.8,54534,24,5472,27036,7850
Cell,2016,4.4,4.1,4.1,4.3,4.6,27222,8,2352,11135,5986
The Human Centipede (First Sequence),2009,4.4,4,4,4.5,4.7,76753,33,14885,37117,8548
I Still Know What You Did Last Summer,1998,4.7,5.9,5,4.6,4.7,72081,17,6494,39043,9007
The Devil Inside,2012,4.2,2.5,4,4.2,4.4,35697,4,6664,18172,4659
Death Note,2017,4.4,3.1,4.1,4.7,5.3,81859,103,18428,26545,4990
Anacondas: The Hunt for the Blood Orchid,2004,4.7,5.2,5,4.5,4.6,30856,7,4591,14783,4253
Friday the 13th: A New Beginning,1985,4.8,4.8,4.8,4.8,4.7,37120,30,4105,16372,5974
Leprechaun,1993,4.8,5.4,4.8,4.8,4.4,25993,10,2452,13146,3971
Halloween: The Curse of Michael Myers,1995,4.8,4.1,4.6,4.8,4.8,35140,23,4069,15900,4819
Seed of Chucky,2004,4.8,5.1,4.8,4.8,5,43567,39,6668,21089,5016
Halloween II,2009,4.8,5,4.8,4.9,4.7,52585,17,6789,26139,7042
The Unborn,2009,4.8,4.2,4.9,4.7,4.8,50791,5,8121,27666,6236
Pulse,2006,4.8,1,4.9,4.7,4.8,28961,1,2656,16571,4790
Anaconda,1997,4.8,5.4,5,4.7,4.7,101510,18,10631,52146,13658
Texas Chainsaw,2013,4.8,4.5,4.7,4.7,5,48235,21,9414,21583,5123
Freddy's Dead: The Final Nightmare,1991,4.9,4.6,4.7,4.9,4.8,44785,23,4756,21589,6597
Valentine,2001,4.9,6,5.3,4.8,4.7,27348,6,2051,13831,3902
Meet the Blacks,2016,4.8,3.8,4.1,3.8,3.7,36261,7,1448,3228,1238
The Woman in Black 2: Angel of Death,2014,4.8,5,5,4.8,4.8,27655,4,5872,10799,3478
Ghosts of Mars,2001,4.9,6,5,4.8,5,53473,5,2427,26738,12307
The Forest,2016,4.8,4.9,4.8,4.8,4.9,41762,8,7424,16858,4859
Poltergeist,2015,4.9,4,4.9,4.9,4.9,57111,22,9620,24207,7940
Fantasy Island,2020,4.9,4.2,4.8,4.9,5,44793,49,6125,15430,6426
The Darkest Hour,2011,4.9,4.3,5,4.8,5.1,60221,8,8180,31430,10735
Vanishing on 7th Street,2010,4.9,7,5.1,4.8,4.9,25863,1,2611,14791,5012
The Haunting,1999,5,7.3,4.9,5,5,74768,3,4296,36964,13899
Cursed,2005,5,7.3,5.3,4.9,5.2,32108,3,2209,16848,6258
Darkness Falls,2003,5,6,5.2,4.9,5.1,31344,1,2362,16581,5292
The Happening,2008,5,3.6,4.9,5,5.1,202707,31,22256,112113,28719
Silent Hill: Revelation,2012,5,5.5,5,5,5,62356,9,11024,32238,5953
A Serbian Film,2010,5,4.3,4.8,5.1,5.3,61590,28,13500,27745,5503
Virus,1999,5,6.5,5.2,5,4.9,27727,2,1006,13238,7012
Blair Witch,2016,5,4.3,5.1,5,4.8,44155,22,7294,18580,4622
Halloween III: Season of the Witch,1982,5,5.7,5,4.9,5.1,50238,26,5091,20827,9410
A Haunted House,2013,5,4.4,5.4,4.9,4.6,45773,25,10851,19086,3848
Paranormal Activity: The Marked Ones,2014,5,4.5,5,5,4.9,41783,25,9018,17871,4202
[REC] 3: Genesis,2012,5,5.1,4.8,5,5.3,34662,15,5877,17461,4077
Chernobyl Diaries,2012,5,6.2,5,5,5.1,65490,12,12231,31957,8134
Halloween 5: The Revenge of Michael Myers,1989,5.1,4.1,5,5.1,5,39564,24,4603,17638,5588
Dreamcatcher,2003,5.5,4.9,5.5,5.5,5.6,91206,7,5451,50447,15933
A Nightmare on Elm Street 5: The Dream Child,1989,5.1,4.6,5,5.2,5,44086,27,4900,21026,6487
Child's Play 3,1991,5.1,5.4,5.3,5.1,4.7,39415,37,5346,19252,4204
Exorcist: The Beginning,2004,5.1,4.1,5,5.1,5.3,36317,5,2185,19380,7378
The Haunted Mansion,2003,5.1,5.3,5.3,4.8,5.1,47444,20,9093,18845,7033
A Nightmare on Elm Street,2010,5.2,4.7,5.5,5.2,5,97529,28,17949,49614,10098
