Name,Year,Rate,Genre,Country
Child's Play,2019,5.7,"Drama,Horror,Sci-Fi",Canada
Jaws 2,1978,5.8,"Adventure,Horror,Thriller",United States
Cooties,2014,5.7,"Action,Comedy,Horror,Sci-Fi,Thriller",United States
The Relic,1997,5.8,"Horror,Mystery,Sci-Fi,Thriller",United States
Hollow Man,2000,5.8,"Action,Horror,Sci-Fi,Thriller",United States
Halloween 4: The Return of Michael Myers,1988,5.8,"Horror,Thriller",United States
Gothika,2003,5.8,"Horror,Mystery,Thriller",United States
Blade: Trinity,2004,5.8,"Action,Horror,Sci-Fi",United States
End of Days,1999,5.8,"Action,Fantasy,Horror,Thriller",United States
Final Destination 3,2006,5.8,"Horror,Mystery,Thriller",United States
Cry Wolf,2005,5.8,"Drama,Horror,Mystery,Thriller",United States
The Texas Chainsaw Massacre: The Beginning,2006,5.8,"Horror,Thriller",United States
Halloween H20: 20 Years Later,1998,5.8,"Horror,Thriller",United States
The Wolfman,2010,5.8,"Drama,Fantasy,Horror,Thriller",United States
Old,2021,5.8,"Drama,Horror,Mystery,Thriller",United States
The Babysitter: Killer Queen,2020,5.8,"Comedy,Horror",United States
Child's Play 2,1990,5.9,"Horror,Thriller",United States
King Kong,1976,5.9,"Adventure,Horror",United States
Black Sheep,2006,5.8,"Comedy,Horror,Sci-Fi",New Zealand
"Salò, or the 120 Days of Sodom",1975,5.9,"Drama,Horror",Italy
Thinner,1996,5.8,"Fantasy,Horror",United States
Dracula: Dead and Loving It,1995,5.9,"Comedy,Fantasy,Horror",France
The Possession,2012,5.9,"Horror,Mystery,Thriller",United States
The Descent: Part 2,2009,5.8,"Adventure,Horror,Thriller",United Kingdom
The X Files: I Want to Believe,2008,5.9,"Crime,Drama,Horror,Mystery,Sci-Fi,Thriller",United States
Hostel,2005,5.9,Horror,United States
The Grudge,2004,5.9,"Horror,Mystery,Thriller",United States
The Haunting in Connecticut,2009,5.9,"Drama,Horror,Mystery,Thriller",United States
The Brothers Grimm,2005,5.9,"Action,Adventure,Comedy,Fantasy,Horror,Mystery,Thriller",United States
Saw IV,2007,5.9,"Crime,Horror,Mystery,Thriller",Canada
Quarantine,2008,5.9,"Horror,Thriller",United States
P2,2007,5.9,"Crime,Horror,Thriller",United States
Carrie,2013,5.9,"Drama,Horror",United States
The Tall Man,2012,5.9,"Crime,Drama,Horror,Mystery,Thriller",Canada
The Mortal Instruments: City of Bones,2013,5.9,"Action,Adventure,Fantasy,Horror,Mystery,Romance",United States
The Ruins,2008,5.9,"Adventure,Fantasy,Horror,Mystery,Sci-Fi,Thriller",United States
The Prodigy,2019,5.9,"Fantasy,Horror,Mystery,Thriller",United States
The Void,2016,5.9,"Horror,Mystery,Sci-Fi,Thriller",Canada
Abraham Lincoln: Vampire Hunter,2012,5.9,"Action,Fantasy,Horror",United States
Cam,2018,5.9,"Drama,Horror,Mystery,Thriller",United States
Annabelle Comes Home,2019,5.9,"Horror,Mystery,Thriller",United States
Underwater,2020,5.9,"Adventure,Horror,Sci-Fi,Thriller",United States
Candyman,2021,5.9,"Horror,Thriller",United States
The Last House on the Left,1972,6.0,"Crime,Horror,Thriller",United States
Friday the 13th: The Final Chapter,1984,6.0,"Horror,Thriller",United States
Hide and Seek,2005,6.0,"Drama,Horror,Mystery,Thriller",Germany
The Midnight Meat Train,2008,6.0,"Action,Adventure,Horror,Mystery,Thriller",United States
The Amityville Horror,2005,6.0,Horror,United States
Friday the 13th Part VI: Jason Lives,1986,6.0,"Horror,Thriller",United States
The Rite,2011,6.0,"Drama,Horror,Mystery,Thriller",United States
Mimic,1997,6.0,"Horror,Sci-Fi",United States
House of 1000 Corpses,2003,6.1,Horror,United States
Wrong Turn,2003,6.1,"Horror,Thriller",Canada
Vampires,1998,6.1,"Action,Horror,Thriller",United States
Bug,2006,6.1,"Drama,Horror,Thriller",United States
The Fourth Kind,2009,5.9,"Horror,Mystery,Sci-Fi,Thriller",United States
Halloween,2007,6.1,Horror,United States
Splinter,2008,6.1,"Horror,Sci-Fi,Thriller",United States
Solomon Kane,2009,6.1,"Action,Adventure,Fantasy,Horror",Czech Republic
The Belko Experiment,2016,6.1,"Horror,Thriller",United States
Maniac,2012,6.1,"Horror,Thriller",France
Mirrors,2008,6.1,"Horror,Mystery",United States
Grave Encounters,2011,6.1,"Horror,Mystery",Canada
6 Souls,2010,6.1,"Horror,Mystery,Thriller",United States
The Collection,2012,6.1,"Horror,Thriller",United States
Hobo with a Shotgun,2011,6.1,"Action,Comedy,Horror,Thriller",Canada
Hansel & Gretel: Witch Hunters,2013,6.1,"Action,Fantasy,Horror",United States
The Lodge,2019,6.1,"Drama,Horror,Mystery,Thriller",United Kingdom
Blood Red Sky,2021,6.1,"Action,Horror,Thriller",Germany
Don't Breathe 2,2021,6.1,"Action,Drama,Horror,Thriller",United States
Brightburn,2019,6.1,"Drama,Horror,Mystery,Sci-Fi",United States
Crawl,2019,6.1,"Action,Horror,Thriller",United States
Insidious: Chapter 3,2015,6.1,"Horror,Mystery,Thriller",Canada
The Toxic Avenger,1984,6.2,"Action,Comedy,Horror,Sci-Fi",United States
Killer Klowns from Outer Space,1988,6.2,"Comedy,Horror,Sci-Fi",United States
The Amityville Horror,1979,6.2,Horror,United States
Alien: Resurrection,1997,6.2,"Action,Horror,Sci-Fi",United States
Scream 2,1997,6.2,"Horror,Mystery",United States
Idle Hands,1999,6.2,"Comedy,Fantasy,Horror,Thriller",United States
Jeepers Creepers,2001,6.2,"Horror,Mystery",United States
Stigmata,1999,6.2,Horror,United States
Final Destination 2,2003,6.2,"Horror,Thriller",United States
Wolf,1994,6.2,"Drama,Horror,Romance,Thriller",United States
The Texas Chainsaw Massacre,2003,6.2,"Crime,Horror",United States
Land of the Dead,2005,6.2,"Horror,Sci-Fi,Thriller",United States
House,1985,6.2,"Comedy,Fantasy,Horror",United States
Mama,2013,6.2,"Fantasy,Horror,Thriller",Canada
Wolf Creek,2005,6.2,"Horror,Thriller",Australia
Before I Wake,2016,6.2,"Drama,Fantasy,Horror,Thriller",United States
Scary Stories to Tell in the Dark,2019,6.2,"Adventure,Horror,Mystery",United States
"As Above, So Below",2014,6.2,"Horror,Mystery,Thriller",United States
Open Grave,2013,6.2,"Horror,Mystery,Sci-Fi,Thriller",United States
Krampus,2015,6.2,"Comedy,Drama,Fantasy,Horror",United States
Colossal,2016,6.2,"Action,Adventure,Comedy,Drama,Fantasy,Horror,Sci-Fi,Thriller",Canada
It Comes at Night,2017,6.2,"Horror,Mystery,Sci-Fi,Thriller",United States
Color Out of Space,2019,6.2,"Horror,Mystery,Sci-Fi,Thriller",United States
Ouija: Origin of Evil,2016,6.2,"Drama,Horror,Mystery,Thriller",United States
The Perfection,2018,6.2,"Drama,Horror,Music,Thriller",United States
Verónica,2017,6.2,Horror,Spain
Synchronic,2019,6.2,"Drama,Horror,Mystery,Sci-Fi,Thriller",United States
Happy Death Day 2U,2019,6.2,"Comedy,Horror,Mystery,Sci-Fi,Thriller",United States
Resident Evil: Apocalypse,2004,6.2,"Action,Horror,Sci-Fi,Thriller",Germany
Damien: Omen II,1978,6.3,Horror,United Kingdom
Fear Street: Part One - 1994,2021,6.2,"Drama,Horror,Mystery",United States
The Hills Have Eyes,1977,6.3,"Horror,Thriller",United States
Predator 2,1990,6.3,"Action,Horror,Sci-Fi",United States
Feast,2005,6.3,"Action,Comedy,Horror,Thriller",United States
Dracula Untold,2014,6.3,"Action,Drama,Fantasy,Horror,War",United States
#Alive,2020,6.3,"Action,Drama,Horror,Thriller",South Korea
Goosebumps,2015,6.3,"Adventure,Comedy,Family,Fantasy,Horror",United States
The Uninvited,2009,6.3,"Drama,Fantasy,Horror,Mystery,Thriller",United States
Deliver Us from Evil,2014,6.2,"Crime,Drama,Fantasy,Horror,Mystery,Thriller",United States
Paranormal Activity,2007,6.3,"Horror,Mystery",United States
Sleepaway Camp,1983,6.3,Horror,United States
I Spit on Your Grave,2010,6.3,"Horror,Thriller",United States
Scouts Guide to the Zombie Apocalypse,2015,6.3,"Action,Comedy,Horror",United States
Underworld: Awakening,2012,6.3,"Action,Fantasy,Horror,Sci-Fi",United States
The Visit,2015,6.3,"Horror,Mystery,Thriller",United States
Dark Skies,2013,6.3,"Horror,Sci-Fi,Thriller",United States
Malignant,2021,6.3,"Crime,Horror,Mystery,Thriller",United States
13 Sins,2014,6.3,"Horror,Thriller",United States
The Shallows,2016,6.3,"Action,Drama,Horror,Thriller",United States
Dead Snow,2009,6.3,"Comedy,Fantasy,Horror",Norway
The People Under the Stairs,1991,6.4,"Comedy,Horror,Mystery,Thriller",United States
Cargo,2017,6.3,"Drama,Horror,Sci-Fi,Thriller",Australia
The Mothman Prophecies,2002,6.4,"Drama,Horror,Mystery,Thriller",United States
Session 9,2001,6.4,"Horror,Mystery",United States
Screamers,1995,6.4,"Horror,Sci-Fi,Thriller",Canada
Mary Shelley's Frankenstein,1994,6.4,"Drama,Horror,Romance,Sci-Fi",United States
Night Watch,2004,6.4,"Action,Fantasy,Horror,Thriller",Russia
Mindhunters,2004,6.4,"Crime,Horror,Thriller",Netherlands
Daybreakers,2009,6.4,"Action,Horror,Sci-Fi,Thriller",Australia
The Cell,2000,6.4,"Crime,Horror,Sci-Fi,Thriller",United States
Them,2006,6.4,"Horror,Thriller",France
The Hills Have Eyes,2006,6.4,"Horror,Thriller",United States
Freaky,2020,6.4,"Comedy,Horror,Thriller",United States
The Collector,2009,6.4,"Horror,Thriller",United States
The House of the Devil,2009,6.4,"Horror,Mystery",United States
Under the Skin,2013,6.4,"Drama,Horror,Sci-Fi,Thriller",United Kingdom
The Voices,2014,6.4,"Comedy,Crime,Fantasy,Horror,Thriller",United States
The Woman in Black,2012,6.4,"Drama,Fantasy,Horror,Thriller",United Kingdom
Black Death,2010,6.4,"Action,Drama,History,Horror,Mystery",Germany
The Craft,1996,6.4,"Drama,Fantasy,Horror,Thriller",United States
Fright Night,2011,6.4,"Comedy,Horror",United States
Creep,2014,6.4,"Horror,Thriller",United States
Alien: Covenant,2017,6.4,"Horror,Sci-Fi,Thriller",United States
Kill List,2011,6.4,"Action,Crime,Horror,Mystery,Thriller",United Kingdom
The Babysitter,2017,6.4,"Comedy,Horror",United States
The Purge: Anarchy,2014,6.4,"Action,Horror,Sci-Fi,Thriller",United States
John Dies at the End,2012,6.4,"Comedy,Fantasy,Horror,Sci-Fi",United States
Ghost Stories,2017,6.4,"Drama,Horror",United Kingdom
Tale of Tales,2015,6.4,"Drama,Fantasy,Horror",Italy
Revenge,2017,6.4,"Action,Horror,Thriller",France
Incident in a Ghostland,2018,6.4,"Drama,Horror,Mystery,Thriller",Canada
Unsane,2018,6.4,"Drama,Horror,Mystery,Thriller",United States
A Cure for Wellness,2016,6.4,"Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller",United States
The Last House on the Left,2009,6.5,"Horror,Thriller",United States
Escape Room,2019,6.4,"Action,Adventure,Horror,Mystery,Sci-Fi,Thriller",United States
Psycho II,1983,6.5,"Crime,Horror,Mystery,Thriller",United States
Resident Evil: Degeneration,2008,6.5,"Animation,Action,Horror,Sci-Fi,Thriller",Japan
Evil Dead,2013,6.5,Horror,United States
Halloween II,1981,6.5,Horror,United States
Host,2020,6.5,"Horror,Mystery",United Kingdom
[Rec]²,2009,6.5,"Horror,Thriller",Spain
Drag Me to Hell,2009,6.5,Horror,United States
Stake Land,2010,6.5,"Drama,Horror,Sci-Fi",United States
Oculus,2013,6.5,"Horror,Mystery",United States
Sightseers,2012,6.5,"Adventure,Comedy,Crime,Horror,Romance",United Kingdom
Byzantium,2012,6.5,"Drama,Fantasy,Horror,Thriller",United Kingdom
Crimson Peak,2015,6.5,"Drama,Horror,Mystery,Romance,Thriller",United States
The Awakening,2011,6.5,"Horror,Thriller",United Kingdom
Better Watch Out,2016,6.5,"Comedy,Horror,Thriller",Australia
Annabelle: Creation,2017,6.5,"Horror,Mystery,Thriller",United States
Gerald's Game,2017,6.5,"Drama,Horror,Thriller",United States
Time Lapse,2014,6.5,"Horror,Sci-Fi,Thriller",United States
The Endless,2017,6.5,"Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller",United States
The Night House,2020,6.5,"Horror,Thriller",United Kingdom
His House,2020,6.5,"Drama,Horror,Thriller",United Kingdom
Possessor,2020,6.5,"Horror,Mystery,Sci-Fi,Thriller",Canada
The Howling,1981,6.6,Horror,United States
The Hunt,2020,6.5,"Action,Horror,Thriller",United States
It Chapter Two,2019,6.5,"Drama,Fantasy,Horror",United States
Twilight Zone: The Movie,1983,6.5,"Horror,Sci-Fi",United States
Flatliners,1990,6.6,"Drama,Horror,Sci-Fi,Thriller",United States
A Nightmare on Elm Street 3: Dream Warriors,1987,6.6,"Fantasy,Horror",United States
Child's Play,1988,6.6,"Horror,Thriller",United States
What Lies Beneath,2000,6.6,"Drama,Horror,Mystery,Thriller",United States
The Blob,1988,6.6,"Horror,Sci-Fi,Thriller",United States
Death Becomes Her,1992,6.6,"Comedy,Fantasy,Horror",United States
Saw II,2005,6.6,"Horror,Mystery",Canada
May,2002,6.6,"Comedy,Drama,Horror,Thriller",United States
30 Days of Night,2007,6.6,"Action,Horror,Thriller",United States
Fear Street: Part Three - 1666,2021,6.6,"Horror,Mystery",United States
Phantasm,1979,6.7,"Horror,Sci-Fi",United States
Return to Oz,1985,6.7,"Adventure,Family,Fantasy,Horror,Mystery",United Kingdom
The Witches of Eastwick,1987,6.6,"Comedy,Fantasy,Horror",United States
Christine,1983,6.7,"Horror,Thriller",United States
Pet Sematary,1989,6.6,"Fantasy,Horror,Thriller",United States
Prince of Darkness,1987,6.7,Horror,United States
Event Horizon,1997,6.7,"Horror,Sci-Fi,Thriller",United Kingdom
Final Destination,2000,6.7,"Horror,Thriller",United States
Candyman,1992,6.7,"Horror,Thriller",United States
Resident Evil,2002,6.7,"Action,Horror,Sci-Fi",United Kingdom
Blade II,2002,6.7,"Action,Horror,Sci-Fi,Thriller",Germany
Cronos,1993,6.7,"Drama,Fantasy,Horror,Thriller",Mexico
The Exorcism of Emily Rose,2005,6.7,"Drama,Horror,Thriller",United States
The Gift,2000,6.7,"Drama,Fantasy,Horror,Mystery",United States
Fido,2006,6.7,"Comedy,Drama,Horror,Sci-Fi",Canada
Dark Water,2002,6.7,"Drama,Horror,Mystery,Thriller",Japan
Suspiria,2018,6.7,"Drama,Fantasy,Horror,Mystery,Thriller",Italy
Ju-on: The Grudge,2002,6.7,Horror,Japan
The Eye,2002,6.7,"Drama,Horror,Mystery,Thriller",Hong Kong
From Beyond,1986,6.7,"Horror,Sci-Fi",United States
Rare Exports,2010,6.7,"Adventure,Fantasy,Horror",Finland
Hotel Transylvania 2,2015,6.7,"Animation,Adventure,Comedy,Family,Fantasy,Horror",United States
The Call,2013,6.7,"Crime,Drama,Horror,Thriller",United States
Pandorum,2009,6.7,"Action,Horror,Mystery,Sci-Fi,Thriller",Germany
Zombieland: Double Tap,2019,6.7,"Action,Comedy,Horror",United States
Goodnight Mommy,2014,6.7,"Horror,Mystery,Thriller",Austria
Inside,2007,6.7,Horror,France
Spring,2014,6.7,"Horror,Romance,Sci-Fi",United States
Turbo Kid,2015,6.7,"Action,Adventure,Comedy,Horror,Sci-Fi",Canada
Saint Maud,2019,6.7,"Drama,Horror,Mystery,Thriller",United Kingdom
House on Haunted Hill,1959,6.8,"Crime,Horror,Mystery",United States
Los ojos de Julia,2010,6.7,"Horror,Mystery,Thriller",Spain
Fear Street: Part Two - 1978,2021,6.7,"Drama,Horror,Mystery",United States
Summer of 84,2018,6.7,"Drama,Horror,Mystery,Thriller",Canada
Eden Lake,2008,6.8,"Horror,Thriller",United Kingdom
Insidious,2010,6.8,"Horror,Mystery,Thriller",United States
The Brood,1979,6.8,"Horror,Sci-Fi",Canada
Stonehearst Asylum,2014,6.8,"Drama,Horror,Thriller",United States
Odd Thomas,2013,6.8,"Comedy,Fantasy,Horror,Mystery,Romance,Thriller",United States
Zombie,1979,6.8,Horror,Italy
Warm Bodies,2013,6.8,"Comedy,Horror,Romance",United States
Sinister,2012,6.8,"Horror,Mystery,Thriller",United States
The Babadook,2014,6.8,"Drama,Horror,Mystery,Thriller",Australia
Annihilation,2018,6.8,"Adventure,Drama,Horror,Mystery,Sci-Fi,Thriller",United States
It Follows,2014,6.8,"Horror,Mystery,Thriller",United States
The Autopsy of Jane Doe,2016,6.8,"Horror,Mystery,Thriller",United Kingdom
The House That Jack Built,2018,6.8,"Crime,Drama,Horror,Thriller",Denmark
Housebound,2014,6.8,"Comedy,Horror,Mystery",New Zealand
Us,2019,6.8,"Horror,Mystery,Thriller",United States
The Witches,1990,6.9,"Adventure,Comedy,Family,Fantasy,Horror,Mystery",United Kingdom
I See You,2019,6.8,"Crime,Drama,Horror,Mystery,Thriller",United States
Shin Godzilla,2016,6.8,"Action,Drama,Horror,Sci-Fi",Japan
Night of the Living Dead,1990,6.9,Horror,United States
Altered States,1980,6.9,"Horror,Sci-Fi,Thriller",United States
Hocus Pocus,1993,6.9,"Comedy,Family,Fantasy,Horror",United States
Creepshow,1982,6.9,"Comedy,Fantasy,Horror",United States
28 Weeks Later,2007,6.9,"Horror,Sci-Fi",United Kingdom
The Witch,2015,6.9,"Drama,Horror,Mystery",United States
Ready or Not,2019,6.9,"Action,Comedy,Horror,Mystery,Thriller",United States
Shadow of the Vampire,2000,6.9,"Drama,Horror",United Kingdom
Creature from the Black Lagoon,1954,7.0,"Horror,Sci-Fi",United States
Marrowbone,2017,6.7,"Drama,Horror,Mystery,Thriller",Spain
Under the Shadow,2016,6.9,"Drama,Fantasy,Horror,Thriller,War",United Kingdom
The Monster Squad,1987,7.0,"Action,Comedy,Fantasy,Horror",United States
Stir of Echoes,1999,7.0,"Horror,Mystery,Thriller",United States
Ravenous,1999,7.0,"Adventure,Horror,Western",United Kingdom
Brotherhood of the Wolf,2001,7.0,"Action,Adventure,Drama,Horror,Thriller",France
Henry: Portrait of a Serial Killer,1986,7.0,"Biography,Crime,Drama,Horror,Thriller",United States
Bubba Ho-Tep,2002,7.0,"Comedy,Fantasy,Horror,Mystery,Western",United States
Constantine,2005,7.0,"Action,Fantasy,Horror,Mystery",United States
Little Shop of Horrors,1986,7.1,"Comedy,Horror,Musical,Romance,Sci-Fi",United States
Ichi the Killer,2001,7.0,"Action,Crime,Horror",Japan
Tremors,1990,7.1,"Comedy,Horror",United States
Blade,1998,7.1,"Action,Horror,Sci-Fi",United States
The Frighteners,1996,7.1,"Comedy,Fantasy,Horror",New Zealand
Fright Night,1985,7.1,"Comedy,Fantasy,Horror",United States
Pitch Black,2000,7.1,"Action,Horror,Sci-Fi,Thriller",United States
Hellraiser,1987,7.0,"Horror,Thriller",United Kingdom
Shutter,2004,7.1,"Horror,Mystery,Thriller",Thailand
Hotel Transylvania,2012,7.1,"Animation,Comedy,Family,Fantasy,Horror",United States
The Host,2006,7.1,"Action,Drama,Horror,Sci-Fi",South Korea
The Mist,2007,7.1,"Horror,Sci-Fi,Thriller",United States
Thirst,2009,7.1,"Drama,Fantasy,Horror,Romance",South Korea
The Ring,2002,7.1,"Horror,Mystery",United States
Frankenweenie,2012,6.9,"Animation,Comedy,Drama,Family,Horror,Sci-Fi,Thriller",United States
The Call,2020,7.1,"Crime,Horror,Mystery,Sci-Fi,Thriller",South Korea
Bhoot Police,2021,7.1,"Comedy,Horror",India
Near Dark,1987,7.0,"Action,Crime,Drama,Horror,Romance,Thriller",United States
Martyrs,2008,7.1,Horror,France
Bone Tomahawk,2015,7.1,"Drama,Horror,Western",United States
The Invisible Man,2020,7.1,"Drama,Horror,Mystery,Sci-Fi,Thriller",Australia
Let Me In,2010,7.1,"Drama,Fantasy,Horror,Mystery,Thriller",United Kingdom
Don't Look Now,1973,7.2,"Drama,Horror,Mystery,Thriller",United Kingdom
Black Christmas,1974,7.2,"Horror,Mystery,Thriller",Canada
Don't Breathe,2016,7.1,"Crime,Horror,Thriller",United States
Midsommar,2019,7.1,"Drama,Horror,Mystery,Thriller",United States
The Changeling,1980,7.2,"Horror,Mystery",Canada
From Dusk Till Dawn,1996,7.2,"Action,Crime,Horror",United States
The Fearless Vampire Killers,1967,7.2,"Comedy,Horror",United Kingdom
Videodrome,1983,7.2,"Horror,Sci-Fi,Thriller",Canada
The Dead Zone,1983,7.2,"Drama,Horror,Sci-Fi,Thriller",United States
In the Mouth of Madness,1994,7.2,"Drama,Fantasy,Horror,Mystery,Thriller",United States
Cube,1997,7.2,"Drama,Horror,Mystery,Sci-Fi",Canada
Re-Animator,1985,7.2,"Comedy,Horror,Sci-Fi",United States
A Tale of Two Sisters,2003,7.2,"Drama,Horror,Mystery,Thriller",South Korea
Sleepy Hollow,1999,7.3,"Fantasy,Horror,Mystery",United States
Dawn of the Dead,2004,7.3,"Action,Horror",United States
Ringu,1998,7.2,"Horror,Mystery",Japan
Audition,1999,7.2,"Drama,Horror,Mystery",Japan
Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3,"Drama,Horror,Musical,Thriller",United States
The Conjuring 2,2016,7.3,"Horror,Mystery,Thriller",Canada
An American Crime,2007,7.3,"Biography,Crime,Drama,Horror",United States
Doctor Sleep,2019,7.3,"Drama,Fantasy,Horror,Thriller",United Kingdom
It,2017,7.3,Horror,United States
Hereditary,2018,7.3,"Drama,Horror,Mystery,Thriller",United States
The Rocky Horror Picture Show,1975,7.4,"Comedy,Horror,Musical",United Kingdom
A Quiet Place Part II,2020,7.3,"Drama,Horror,Sci-Fi,Thriller",United States
Split,2016,7.3,"Horror,Thriller",United States
Carrie,1976,7.4,"Horror,Mystery",United States
Hausu,1977,7.4,"Comedy,Horror",Japan
Invasion of the Body Snatchers,1978,7.4,"Horror,Sci-Fi",United States
Eraserhead,1977,7.4,"Fantasy,Horror",United States
Dracula,1992,7.4,"Drama,Fantasy,Horror,Romance",United Kingdom
Possession,1981,7.4,"Drama,Horror",France
Suspiria,1977,7.4,Horror,Italy
The Devil's Backbone,2001,7.4,"Drama,Horror,Thriller",Spain
Pi,1998,7.4,"Drama,Horror,Mystery,Sci-Fi,Thriller",United States
REC,2007,7.4,"Horror,Mystery,Thriller",Spain
The Descent,2005,7.2,"Adventure,Horror,Thriller",United Kingdom
Thesis,1996,7.4,"Crime,Horror,Mystery,Thriller",Spain
Dracula,1931,7.5,"Drama,Fantasy,Horror",United States
The Wicker Man,1973,7.5,"Horror,Mystery,Thriller",United Kingdom
Nosferatu the Vampyre,1979,7.5,"Drama,Horror",West Germany
The Haunting,1963,7.5,Horror,United Kingdom
The Omen,1976,7.5,"Horror,Mystery",United Kingdom
The Orphanage,2007,7.4,"Adventure,Drama,Horror,Mystery,Thriller",Spain
The Texas Chain Saw Massacre,1974,7.5,Horror,United States
The Evil Dead,1981,7.5,Horror,United States
A Nightmare on Elm Street,1984,7.5,Horror,United States
Jacob's Ladder,1990,7.5,"Drama,Horror,Mystery",United States
Army of Darkness,1992,7.5,"Comedy,Horror",United States
Dead Alive,1992,7.5,"Comedy,Fantasy,Horror,Thriller",New Zealand
Interview with the Vampire: The Vampire Chronicles,1994,7.5,"Drama,Fantasy,Horror",United States
Grindhouse,2007,7.5,"Action,Horror,Thriller",United States
The Birds,1963,7.7,"Drama,Horror,Mystery,Romance",United States
Les yeux sans visage,1960,7.7,"Drama,Horror",France
Peeping Tom,1960,7.7,"Drama,Horror,Thriller",United Kingdom
Halloween,1978,7.7,"Horror,Thriller",United States
Evil Dead II,1987,7.7,"Comedy,Horror",United States
Repulsion,1965,7.7,"Drama,Horror,Thriller",United Kingdom
What We Do in the Shadows,2014,7.7,"Comedy,Horror",New Zealand
Get Out,2017,7.7,"Horror,Mystery,Thriller",United States
The Conjuring,2013,7.5,"Horror,Mystery,Thriller",United States
Frankenstein,1931,7.8,"Drama,Horror,Sci-Fi,Thriller",United States
The Bride of Frankenstein,1935,7.8,"Drama,Horror,Sci-Fi",United States
The Innocents,1961,7.8,Horror,United Kingdom
Predator,1987,7.8,"Action,Adventure,Horror,Sci-Fi",United States
Nosferatu,1922,7.9,"Fantasy,Horror",Germany
Freaks,1932,7.9,"Drama,Horror",United States
Vampire Hunter D: Bloodlust,2000,7.7,"Animation,Action,Drama,Fantasy,Horror,Romance,Sci-Fi",Japan
I Saw the Devil,2010,7.8,"Action,Crime,Drama,Horror,Thriller",South Korea
Rosemary's Baby,1968,8.0,"Drama,Horror",United States
Let the Right One In,2008,7.9,"Crime,Drama,Fantasy,Horror,Romance",Sweden
King Kong,1933,7.9,"Adventure,Horror,Sci-Fi",United States
An American Werewolf in London,1981,7.5,"Comedy,Horror",United Kingdom
The Exorcist,1973,8.0,Horror,United States
Dawn of the Dead,1978,7.9,"Horror,Thriller",United States
The Cabinet of Dr. Caligari,1920,8.1,"Horror,Mystery,Thriller",Germany
Diabolique,1955,8.1,"Crime,Drama,Horror,Mystery,Thriller",France
Shaun of the Dead,2004,7.9,"Comedy,Horror",United Kingdom
What Ever Happened to Baby Jane?,1962,8.1,"Drama,Horror,Thriller",United States
The Thing,1982,8.1,"Horror,Mystery,Sci-Fi",United States
Demon Slayer: Mugen Train,2020,8.2,"Animation,Action,Adventure,Fantasy,Horror",Japan
The Shining,1980,8.4,"Drama,Horror",United Kingdom
Alien,1979,8.4,"Horror,Sci-Fi",United Kingdom
The Blue Elephant,2014,8.1,"Drama,Horror,Mystery,Thriller",Egypt
Tumbbad,2018,8.3,"Drama,Fantasy,Horror,Thriller",India
Night of the Living Dead,1968,7.9,"Horror,Thriller",United States
