Name,Year,User_Type,Rating,vote10m,vote9m,vote8m,vote7m,vote6m,vote5m,vote4m,vote3m,vote2m,vote1m,Rate_Male,Rate_<18m,Rate_18-29m,Rate_30-44m,Rate_45+m,Number_Male,Number_<18m,Number_18-29m,Number_30-44m,Number_45+m
Scouts Guide to the Zombie Apocalypse,2015,males,6.3,1598,1157,3998,9227,8899,4218,1794,897,417,491,6.3,5.9,6.3,6.3,6.3,32696,18,6483,18283,5617
Underworld: Awakening,2012,males,6.3,8420,4923,12537,26237,26007,13108,5928,2879,1469,1705,6.3,6.6,6.4,6.2,6.3,103213,8,16849,65228,16110
The Visit,2015,males,6.2,2479,2720,9621,19832,17340,8563,4273,2480,1641,2133,6.2,5.3,6.3,6.2,6.1,71082,41,14793,39448,11521
I Spit on Your Grave,2010,males,6.2,3485,2437,6958,13566,12973,6326,3033,1671,1068,1476,6.2,5.0,6.2,6.2,6.2,52993,15,9625,32014,8733
13 Sins,2014,males,6.3,917,779,2699,6548,6856,3246,1198,527,248,296,6.3,7.5,6.5,6.2,6.2,23314,2,4289,13561,4175
Malignant,2021,males,6.3,1807,1742,4992,8362,6919,3935,2254,1400,896,1148,6.3,6.7,6.5,6.2,6.1,33455,57,7775,17440,4880
The Shallows,2016,males,6.3,2424,2206,8329,21506,21065,9523,3921,1933,1002,1072,6.3,6.6,6.3,6.2,6.4,72981,32,14254,40221,12614
The Blob,1958,males,6.3,967,677,2087,4632,4831,2283,919,376,206,191,6.3,8.0,6.4,6.3,6.4,17169,3,1770,7939,6862
Silver Bullet,1985,males,6.3,1195,745,2117,4511,4649,2435,948,371,189,168,6.3,7.0,6.4,6.4,6.3,17328,2,1026,9437,6139
Friday the 13th,1980,males,6.4,6430,4204,11256,22132,20090,9715,4389,2293,1120,1148,6.4,6.2,6.2,6.5,6.5,82777,97,13600,47377,17511
Arachnophobia,1990,males,6.4,1635,1636,6094,13342,12563,5547,2101,903,425,406,6.4,6.9,6.5,6.5,6.4,44652,9,2690,27781,12508
Mary Shelley's Frankenstein,1994,males,6.4,1602,1581,4802,9615,9175,4536,2017,846,514,585,6.4,6.7,6.2,6.4,6.2,35273,3,2639,20934,10519
Cargo,2017,males,6.3,711,822,2947,7034,7191,3324,1372,612,307,409,6.3,5.9,6.3,6.2,6.3,24729,13,4482,13455,4639
The People Under the Stairs,1991,males,6.4,1431,1115,3105,5617,5303,2744,1247,725,363,423,6.4,7.3,6.6,6.4,6.1,22073,5,1681,14028,5578
Gremlins 2: The New Batch,1990,males,6.4,3664,3004,8495,17013,18202,8896,3696,1679,843,695,6.4,6.5,6.5,6.5,6.1,66187,28,5912,43054,13946
Screamers,1995,males,6.3,1264,928,2742,5198,4948,2462,1063,529,264,285,6.3,4.0,6.2,6.4,6.2,19683,1,691,12766,5661
The Craft,1996,males,6.1,2598,1526,4346,9284,11157,6409,2914,1342,617,671,6.1,7.0,6.4,6.1,6.2,40864,11,2964,25728,10442
Session 9,2001,males,6.4,2715,2763,5983,8751,7641,4097,2114,1157,687,914,6.4,6.0,6.3,6.5,6.5,36822,4,3833,24077,7743
The Cell,2000,males,6.3,3122,3451,9391,15852,14324,8014,3885,2019,1236,1522,6.3,7.0,6.3,6.3,6.3,62816,2,3039,41123,16708
Mindhunters,2004,males,6.3,2179,2031,6091,11478,10136,4993,2346,1196,645,710,6.3,6.6,6.6,6.4,6.0,41805,6,3615,29144,7832
The Hills Have Eyes,2006,males,6.4,7202,5910,16088,29578,24907,12159,5596,3146,1813,3030,6.4,6.7,6.4,6.4,6.3,109429,22,17347,72935,14816
Daybreakers,2009,males,6.4,3516,3421,12027,28461,25095,10866,4281,1892,961,1077,6.4,6.5,6.5,6.4,6.4,91597,4,10881,62238,15600
Night Watch,2004,males,6.4,2936,2742,6379,9279,7371,3969,2062,1333,807,1376,6.4,6.3,6.2,6.4,6.5,38254,3,2043,26869,8520
The Mothman Prophecies,2002,males,6.4,2491,2727,7645,14302,12432,5968,2474,1059,599,734,6.4,8.3,6.4,6.4,6.4,50431,4,3332,31868,13709
Them,2006,males,6.4,1132,1136,3111,5868,4795,2180,1014,603,335,513,6.4,5.7,6.3,6.4,6.5,20687,3,2037,13569,4540
Freaky,2020,males,6.3,868,749,3219,7866,7716,3302,1310,645,309,527,6.3,7.1,6.4,6.3,6.3,26511,51,5413,14356,4572
Black Death,2010,males,6.4,1436,1466,4870,10288,9162,4079,1624,750,408,486,6.4,7.0,6.5,6.4,6.3,34569,1,3617,21741,8024
Fright Night,2011,males,6.4,3259,2698,9220,20440,18154,8388,3448,1672,894,1324,6.4,5.5,6.6,6.3,6.2,69497,3,10580,44181,12143
The Collector,2009,males,6.4,2887,2249,6033,10872,9482,4678,2273,1332,865,950,6.4,6.3,6.5,6.4,6.2,41621,21,7781,25659,6208
The Woman in Black,2012,males,6.4,5116,4702,14776,29921,26229,12642,5352,2449,1346,1728,6.4,6.0,6.5,6.3,6.4,104261,20,23787,59168,15804
Under the Skin,2013,males,6.3,6017,8254,15681,18290,14932,10065,6067,4258,3229,4881,6.3,8.3,6.9,6.2,6.1,91674,39,18155,50699,17448
Kill List,2011,males,6.4,1269,2082,5154,7193,5793,3280,1814,1067,728,1079,6.4,4.8,6.8,6.4,6.2,29459,4,3913,17659,6683
The Voices,2014,males,6.4,1359,1492,5175,10023,8686,4280,1855,938,543,793,6.4,7.0,6.6,6.3,6.2,35144,7,6824,20419,5805
The House of the Devil,2009,males,6.4,1786,1974,4942,7560,5895,3325,1796,1011,690,907,6.4,7.2,6.6,6.5,6.2,29886,4,3776,19378,5605
Alien: Covenant,2017,males,6.4,7408,7587,25531,51395,42275,19865,9166,4984,2919,4331,6.4,6.2,6.5,6.4,6.4,175461,65,31987,97450,29908
Creep,2014,males,6.3,863,1151,3982,7983,6759,3224,1491,822,558,712,6.3,7.0,6.5,6.3,6.0,27545,41,6948,14925,3636
The Purge: Anarchy,2014,males,6.4,4045,3638,12326,28337,24417,10501,4311,1958,983,1346,6.4,6.3,6.5,6.4,6.3,91862,60,24207,49236,10674
Tale of Tales,2015,males,6.4,614,818,2581,4175,3407,1884,908,532,340,514,6.4,8.0,6.7,6.3,6.3,15773,1,2097,8871,3888
A Cure for Wellness,2016,males,6.4,1904,2317,7740,15606,13526,6497,2875,1290,693,842,6.4,6.7,6.6,6.4,6.3,53290,13,11764,28520,8647
The Babysitter,2017,males,6.4,2065,1844,6452,13850,11981,5578,2381,1345,727,922,6.4,6.2,6.3,6.4,6.5,47145,100,12081,24559,6142
Ghost Stories,2017,males,6.4,588,746,2899,6251,5503,2596,1083,512,299,305,6.4,6.9,6.6,6.3,6.2,20782,10,3683,11271,4241
Incident in a Ghostland,2018,males,6.4,879,883,2617,4059,3421,1814,905,458,315,450,6.4,6.6,6.6,6.3,6.2,15801,8,2758,8562,3064
Escape Room,2019,males,6.3,2039,1959,7003,17651,17107,7687,2889,1308,656,692,6.3,6.7,6.4,6.3,6.3,58991,108,14128,31071,8041
Twilight Zone: The Movie,1983,males,6.5,1258,935,3319,7513,6748,3060,1060,416,234,272,6.5,5.5,6.5,6.5,6.5,24815,5,1629,12333,10008
Revenge,2017,males,6.3,930,1226,4219,7097,5801,3091,1547,949,646,1036,6.3,5.8,6.7,6.3,6.1,26542,15,4560,14415,5498
Psycho II,1983,males,6.5,1191,914,2704,4933,4249,1969,895,374,223,228,6.5,7.3,6.8,6.6,6.3,17680,14,2012,9417,5606
Silent Hill,2006,males,6.5,14397,10507,23251,36370,26911,13551,6832,3868,2275,3308,6.5,7.0,6.5,6.6,6.3,141270,25,20928,96301,18421
Bad Taste,1987,males,6.6,3443,2621,5922,8355,5921,2972,1568,900,699,877,6.6,7.2,6.5,6.6,6.5,33278,6,2941,21703,7655
Unsane,2018,males,6.4,722,901,3691,8316,7000,3002,1266,624,358,560,6.4,6.8,6.6,6.4,6.4,26440,13,5118,14119,5206
The Skeleton Key,2005,males,6.4,3138,3304,10015,19812,16337,7624,3118,1297,682,819,6.4,6.3,6.5,6.4,6.4,66146,8,7405,44118,12328
Halloween II,1981,males,6.5,4447,3078,7594,14827,13342,5923,2348,1113,515,666,6.5,6.4,6.5,6.5,6.4,53853,63,8207,30890,11876
Day Watch,2006,males,6.4,2368,1871,4054,6045,4670,2556,1334,822,543,979,6.4,7.0,6.3,6.4,6.5,25242,1,1535,17688,5437
Dead End,2003,males,6.5,1465,1182,3141,5101,3576,1747,904,508,350,454,6.5,7.5,6.6,6.6,6.4,18428,2,1815,12125,3900
Slither,2006,males,6.5,3542,3158,9226,16119,11979,5886,2610,1466,894,1191,6.5,7.0,6.5,6.5,6.6,56071,12,6258,36942,11058
The Crazies,2010,males,6.5,3842,3772,12584,26210,20592,8889,3421,1512,722,849,6.5,6.3,6.5,6.5,6.5,82393,10,11970,53392,14016
Tideland,2005,males,6.4,1974,1909,3696,4734,3609,2177,1328,809,590,753,6.4,2.0,6.2,6.5,6.3,21579,2,1325,14550,5145
The Last House on the Left,2009,males,6.5,3425,2918,8816,17415,13499,6033,2486,1275,765,1166,6.5,7.9,6.5,6.5,6.4,57798,12,8539,37611,9474
Severance,2006,males,6.5,1475,1585,4613,8326,6327,3014,1299,693,394,531,6.5,7.0,6.4,6.5,6.4,28257,1,2015,18963,6567
Drag Me to Hell,2009,males,6.6,9930,10562,25098,34761,23715,12484,6587,3981,2568,4163,6.6,6.4,6.5,6.7,6.6,133849,32,20412,88313,20238
[Rec]²,2009,males,6.5,3007,3075,8010,14769,11721,5258,2316,1130,662,844,6.5,6.3,6.6,6.5,6.5,50792,19,9641,32607,6399
Byzantium,2012,males,6.5,1135,1325,4237,8148,6614,2955,1242,589,321,444,6.5,8.0,6.7,6.4,6.5,27010,1,2715,15970,7160
Resident Evil: Degeneration,2008,males,6.5,2308,1326,3434,6482,5166,2493,1130,601,350,473,6.5,7.0,6.6,6.5,6.2,23763,2,3173,16958,2863
Oculus,2013,males,6.5,3450,3857,11938,22046,17162,8004,3480,1652,874,1269,6.5,6.9,6.7,6.5,6.4,73732,24,17214,41127,10201
Stake Land,2010,males,6.5,1577,1649,5244,9565,7151,3301,1515,736,391,563,6.5,7.0,6.6,6.5,6.5,31692,2,3216,19995,7354
Evil Dead,2013,males,6.5,9649,7943,18443,27395,21487,11623,5978,3271,2017,3196,6.5,6.3,6.7,6.5,6.2,111002,44,23246,64864,15014
The Awakening,2011,males,6.4,1315,1394,5052,11960,10759,4465,1609,664,285,391,6.4,7.0,6.5,6.4,6.5,37894,3,4882,23262,8104
Time Lapse,2014,males,6.5,1206,1491,4743,9324,7369,3204,1306,640,305,460,6.5,8.0,6.8,6.5,6.4,30048,4,4761,17502,6104
Host,2020,males,6.5,581,683,2486,4227,3025,1369,624,335,232,375,6.5,5.8,6.6,6.5,6.4,13937,26,2995,7604,2181
Gerald's Game,2017,males,6.5,1667,2560,9279,17793,13072,5743,2393,1286,755,906,6.5,6.6,6.8,6.5,6.4,55454,46,13263,29771,7690
Crimson Peak,2015,males,6.4,2463,2894,10370,22801,20107,8998,3721,1670,810,1018,6.4,6.8,6.6,6.4,6.4,74852,18,15004,42797,12232
It Chapter Two,2019,males,6.4,5950,6239,18518,34238,28401,14018,6392,3258,1824,2437,6.4,6.6,6.5,6.4,6.4,121275,230,32198,60268,15220
Annabelle: Creation,2017,males,6.5,3716,3073,9835,19780,16111,7132,2866,1396,788,1071,6.5,6.7,6.6,6.4,6.3,65768,116,19597,31805,7126
The Endless,2017,males,6.5,801,1334,4305,7401,5564,2752,1235,628,374,487,6.5,6.6,6.7,6.5,6.3,24881,6,3737,14059,5334
His House,2020,males,6.5,570,811,3089,5852,4973,2233,907,474,220,386,6.5,6.7,6.6,6.4,6.3,19515,23,4196,10781,2834
Better Watch Out,2016,males,6.5,886,943,3200,6792,5338,2087,910,496,346,595,6.5,6.3,6.6,6.5,6.4,21593,20,4148,12204,3704
Possessor,2020,males,6.5,662,1188,3410,5101,3993,2058,1002,502,363,510,6.5,7.4,6.9,6.5,6.2,18789,23,3545,10419,3470
The Hunt,2020,males,6.5,2435,2733,8890,16264,12679,5666,2273,1222,678,1244,6.5,6.0,6.4,6.5,6.7,54084,56,9305,28969,10968
The Blob,1988,males,6.6,1646,1304,4051,6847,6037,2848,1122,529,309,332,6.6,6.5,6.8,6.6,6.3,25025,6,2291,14495,7293
The Witches of Eastwick,1987,males,6.5,1539,1592,5089,11312,10047,4368,1587,685,364,408,6.5,7.3,6.5,6.4,6.6,36991,3,2048,18697,14852
Death Becomes Her,1992,males,6.5,4012,2962,8366,16530,15818,7726,3434,1662,822,680,6.5,6.5,6.7,6.5,6.2,62012,7,4770,38163,16457
The Howling,1981,males,6.6,1507,1329,3784,6720,5537,2498,1084,436,223,288,6.6,7.5,6.6,6.5,6.7,23406,2,1720,12262,8603
The Night House,2020,males,6.5,499,607,2329,4824,3952,1732,669,333,168,270,6.5,7.0,6.7,6.4,6.3,15383,16,3067,8405,2630
A Nightmare on Elm Street 3: Dream Warriors,1987,males,6.6,4392,2893,7655,13498,11711,5396,2054,994,438,495,6.6,7.0,6.7,6.6,6.4,49526,53,6844,29667,10524
Pet Sematary,1989,males,6.5,3707,3301,9269,17726,14686,6685,3031,1354,722,723,6.5,6.0,6.4,6.6,6.4,61204,28,6867,36932,14488
Child's Play,1988,males,6.6,4781,3082,9280,17917,14610,6088,2397,1103,614,687,6.6,6.9,6.7,6.6,6.4,60559,77,9984,37581,9999
What Lies Beneath,2000,males,6.5,2980,3551,11142,22504,18105,7862,3142,1387,655,744,6.5,6.9,6.5,6.5,6.6,72072,12,4135,45734,19815
Flatliners,1990,males,6.5,1764,2141,7898,17414,14240,5721,2092,867,462,459,6.5,7.2,6.4,6.6,6.5,53058,7,2694,29171,19199
May,2002,males,6.6,1774,1594,3617,5276,4059,2146,924,556,364,495,6.6,5.7,6.7,6.6,6.6,20805,4,1929,13173,5097
Saw II,2005,males,6.6,13867,10589,25578,47213,35148,15514,6909,3655,2152,3436,6.6,7.0,6.7,6.5,6.3,164061,89,30609,109404,17325
30 Days of Night,2007,males,6.6,7310,7169,19978,35004,25946,11946,5434,2784,1495,1846,6.6,6.7,6.5,6.5,6.7,118912,14,13484,80099,20880
Antichrist,2009,males,6.6,7057,8589,14886,16784,11814,7061,4156,2853,2155,3907,6.6,6.3,6.8,6.6,6.3,79262,21,13516,50765,11744
Hush,2016,males,6.5,2194,2589,9441,20106,15072,6148,2591,1200,645,853,6.5,6.5,6.6,6.5,6.4,60839,80,17756,30847,6645
Happy Death Day,2017,males,6.5,3197,2863,10168,23564,18157,6781,2638,1297,705,831,6.5,6.7,6.6,6.5,6.6,70201,130,18401,35376,9651
The Girl with All the Gifts,2016,males,6.6,1116,1856,6516,12143,8521,3491,1359,596,333,561,6.6,6.3,6.7,6.6,6.7,36492,8,4839,20825,8449
Mother!,2017,males,6.7,10297,12328,22401,22385,14997,9041,5335,4077,3315,8793,6.7,7.2,7.2,6.6,5.9,112969,63,28163,58545,15596
Life,2017,males,6.6,4791,6353,22663,45476,32254,13673,5478,2623,1495,2095,6.6,6.9,6.7,6.6,6.5,136901,43,27078,75381,22110
Return to Oz,1985,males,6.7,1722,1104,2645,3804,2982,1415,762,356,236,339,6.7,7.0,6.5,6.8,6.3,15365,2,1416,10253,3098
Fear Street: Part Three - 1666,2021,males,6.5,884,947,3243,7245,5322,2082,782,408,241,438,6.5,7.2,6.6,6.5,6.5,21592,70,4812,11593,3008
Mandy,2018,males,6.5,3558,4207,9138,10374,7040,4199,2517,1765,1419,2237,6.5,7.7,6.9,6.5,5.9,46454,25,9725,25534,7381
Prince of Darkness,1987,males,6.7,2308,2203,5293,8086,5807,2747,1279,613,342,333,6.7,7.0,6.8,6.7,6.7,29011,5,2574,16280,9017
Christine,1983,males,6.7,3485,2698,8860,16221,11817,4807,1771,722,342,342,6.7,6.8,6.8,6.7,6.7,51065,25,4995,27218,16538
Phantasm,1979,males,6.7,2701,1871,4278,6327,4574,2318,1089,677,362,388,6.7,7.0,6.7,6.7,6.8,24585,7,1917,13562,8148
From Beyond,1986,males,6.7,1232,1177,3292,5361,3799,1701,674,369,188,221,6.7,7.0,6.9,6.7,6.7,18014,3,1681,10515,5108
Candyman,1992,males,6.6,3584,3401,9056,15377,12064,5377,2230,1046,534,648,6.6,6.5,6.8,6.7,6.5,53317,38,6531,32515,11737
Event Horizon,1997,males,6.7,8245,9291,22677,33325,23074,10956,5383,2940,1514,1929,6.7,6.9,6.4,6.8,6.5,119334,24,10785,77459,25886
Cronos,1993,males,6.7,936,1178,3690,6994,4703,1886,740,343,166,182,6.7,6.0,6.9,6.7,6.7,20818,2,2444,12684,4991
Resident Evil,2002,males,6.7,13801,11029,29384,53790,36211,15854,7241,3883,2081,2788,6.7,6.6,6.7,6.6,6.6,176062,34,27450,115576,25285
Ju-on: The Grudge,2002,males,6.7,1766,1877,4896,8300,5681,2511,1099,557,327,415,6.7,6.0,6.6,6.7,6.7,27429,4,4210,17353,4891
Dark Water,2002,males,6.7,1027,1328,3532,6067,4194,1862,752,338,197,259,6.7,8.0,6.7,6.7,6.7,19556,2,1952,12624,4408
Blade II,2002,males,6.7,8853,8131,24140,47467,34260,13499,5018,2276,1210,1503,6.7,6.8,6.7,6.7,6.6,146357,28,20075,96249,23159
The Gift,2000,males,6.6,1511,1705,6165,13231,9866,3600,1257,548,261,339,6.6,6.5,6.5,6.5,6.8,38483,2,1981,22929,12397
The Eye,2002,males,6.7,1065,1240,3274,5587,4000,1605,704,335,192,305,6.7,7.0,6.6,6.6,6.8,18307,2,1443,12070,4376
Final Destination,2000,males,6.7,8742,8228,25829,52075,33414,13537,5530,2731,1439,1767,6.7,6.9,6.6,6.7,6.7,153292,80,27654,97657,21072
The Exorcism of Emily Rose,2005,males,6.7,5366,5337,14473,23609,16138,7055,2849,1359,746,1129,6.7,7.0,6.7,6.7,6.7,78061,16,12099,50619,12287
Inside,2007,males,6.8,2675,2784,5383,6627,4020,2146,1214,856,600,983,6.8,5.2,6.6,6.8,6.8,27288,10,3458,18088,4774
Rare Exports,2010,males,6.6,1107,1310,3731,6251,4353,1934,864,412,234,299,6.6,5.5,6.6,6.6,6.7,20495,2,2049,13393,4444
Suspiria,2018,males,6.7,2729,3905,7879,9365,6424,3455,1881,1187,820,1401,6.7,6.9,7.2,6.6,6.1,39046,38,9526,20173,6165
Zombieland: Double Tap,2019,males,6.6,4060,4255,15696,33553,23925,8892,3106,1455,743,969,6.6,6.9,6.7,6.6,6.7,96654,128,23344,50075,13837
Los ojos de Julia,2010,males,6.7,930,1219,3692,6878,4986,1850,760,360,191,288,6.7,7.0,6.9,6.6,6.5,21154,3,3184,13263,3741
Pandorum,2009,males,6.7,7331,8563,22128,34044,21145,9307,4105,2041,1089,1209,6.7,5.9,6.7,6.8,6.6,110962,5,11644,75032,20221
The Call,2013,males,6.6,3762,3899,11780,23405,16740,6270,2481,1175,567,811,6.6,6.7,6.8,6.6,6.5,70890,14,12832,40910,11931
Hotel Transylvania 2,2015,males,6.6,3321,2693,8329,19144,14664,5881,2134,854,420,585,6.6,6.3,6.7,6.5,6.5,58025,144,15496,30073,7121
Goodnight Mommy,2014,males,6.7,1064,1757,5860,8848,5808,2555,1176,701,436,682,6.7,6.8,6.9,6.6,6.6,28887,21,7212,15770,4034
Spring,2014,males,6.7,999,1293,3518,5700,3670,1661,698,351,189,268,6.7,5.0,7.0,6.7,6.5,18347,2,2546,10983,3850
Summer of 84,2018,males,6.7,1125,1170,4022,7688,5372,2133,768,336,187,278,6.7,7.1,6.8,6.7,6.5,23079,11,3769,13595,3873
Fear Street: Part Two - 1978,2021,males,6.6,1118,1183,4174,9511,6432,2140,783,327,196,352,6.6,7.3,6.7,6.6,6.6,26216,80,5693,14076,3762
Turbo Kid,2015,males,6.7,1518,1536,3802,5540,3731,1768,921,518,326,610,6.7,6.8,6.8,6.7,6.3,20270,4,3012,12823,3315
Marrowbone,2017,males,6.6,754,752,2430,4926,3685,1562,554,269,139,217,6.6,7.0,6.9,6.5,6.4,15288,8,2794,8211,3021
Saint Maud,2019,males,6.7,576,1156,3429,4708,3241,1480,719,380,250,380,6.7,7.2,7.0,6.7,6.5,16319,21,3515,8541,3047
The Brood,1979,males,6.8,1326,1394,3912,6253,4010,1641,680,327,161,242,6.8,6.8,7.0,6.9,6.7,19946,4,2156,11636,5432
Zombie,1979,males,6.8,2265,1658,3791,5065,3332,1613,834,447,294,367,6.8,6.3,7.0,6.9,6.7,19666,3,1806,11992,5200
House on Haunted Hill,1959,males,6.8,1175,978,2827,5385,3552,1396,516,255,110,99,6.8,7.1,6.9,6.8,6.7,16293,5,1893,8460,5336
The Devil's Rejects,2005,males,6.8,8914,6777,12887,15820,9384,4906,2641,1693,1259,2557,6.8,6.4,6.8,6.8,6.7,66838,8,6480,45467,12501
Trick 'r Treat,2007,males,6.8,5746,4975,10893,14843,9868,5036,2475,1447,879,1217,6.8,7.1,6.8,6.8,6.7,57379,33,9522,36832,8755
1408,2007,males,6.8,12061,13024,33757,54244,35159,14748,6142,2869,1488,1815,6.8,7.3,6.9,6.8,6.6,175307,33,28392,116179,24145
Warm Bodies,2013,males,6.8,8578,8333,24174,40560,23606,9427,3964,2016,1180,2024,6.8,6.6,6.9,6.7,6.7,123862,27,28204,71621,15752
Eden Lake,2008,males,6.8,3262,4114,11512,16780,9520,4031,1849,1202,807,1650,6.8,6.9,6.8,6.8,6.7,54727,15,8239,34967,9268
Stonehearst Asylum,2014,males,6.8,1807,2042,6097,11433,7267,2590,900,369,162,251,6.8,7.3,7.1,6.7,6.6,32918,3,5234,19403,6403
Insidious,2010,males,6.8,13587,14096,34530,51958,31495,13848,6054,3081,1801,2448,6.8,7.2,6.9,6.8,6.6,172898,103,45109,96101,19765
Odd Thomas,2013,males,6.8,2667,2578,6514,9938,5998,2588,1175,561,336,375,6.8,8.0,6.9,6.7,6.8,32730,3,3395,18604,8630
Sinister,2012,males,6.8,8506,9652,26540,43401,28017,11654,4616,2212,1182,1586,6.8,7.1,6.9,6.7,6.6,137366,79,35495,74764,16614
The Babadook,2014,males,6.8,6746,10836,25377,33065,22231,11169,5320,2944,1776,2797,6.8,6.9,7.0,6.7,6.7,122261,65,31183,65903,15763
Annihilation,2018,males,6.8,8101,15195,38337,50874,33700,15434,7040,4039,2471,3378,6.8,6.7,7.2,6.8,6.5,178569,86,39669,95798,26379
The Autopsy of Jane Doe,2016,males,6.8,2653,3560,11654,21563,13510,4940,1818,811,369,446,6.8,7.2,6.8,6.8,6.7,61324,37,12873,33331,10052
Housebound,2014,males,6.7,1081,1335,4229,6796,4390,1813,791,387,226,332,6.7,6.3,6.8,6.7,6.8,21380,5,3255,13023,4060
It Follows,2014,males,6.9,7431,12110,30287,38110,22595,10718,5366,3100,2024,3490,6.9,7.1,7.0,6.9,6.7,135231,71,33297,74301,17557
